symbol,date,open,high,low,close,volume,adj_close
XXII,2016-01-05,1.39,1.40,1.26,1.30,579500,1.30
XXII,2016-01-04,1.38,1.44,1.33,1.40,571700,1.40
IAF,2016-01-05,5.29,5.32,5.27,5.27,84800,5.27
IAF,2016-01-04,5.24,5.33,5.23,5.33,80800,5.33
IF,2016-01-05,5.44,5.54,5.44,5.53,6000,5.53
IF,2016-01-04,5.47,5.47,5.35,5.43,6700,5.43
FCO,2016-01-05,7.62,7.68,7.62,7.67,18500,7.67
FCO,2016-01-04,7.64,7.65,7.59,7.64,27600,7.64
ISL,2016-01-05,17.200001,17.450001,17.17,17.280001,1300,17.280001
ISL,2016-01-04,17.030001,17.18,17.030001,17.18,8100,17.18
ACU,2016-01-05,17.41,17.639999,17.110001,17.280001,1600,17.280001
ACU,2016-01-04,17.030001,17.59,17.00,17.24,3300,17.139999
ATNM,2016-01-05,3.41,3.49,3.07,3.12,1759500,3.12
ATNM,2016-01-04,3.19,3.50,3.02,3.40,1690400,3.40
ADK,2016-01-05,2.10,2.20,1.95,2.03,136000,2.03
ADK,2016-01-04,2.54,2.54,1.85,2.20,255800,2.20
AE,2016-01-05,38.209999,39.82,38.209999,39.290001,8800,39.290001
AE,2016-01-04,37.799999,38.990002,36.84,38.23,13400,38.23
ACY,2016-01-05,12.20,12.40,12.07,12.34,5400,12.34
ACY,2016-01-04,12.14,12.46,12.08,12.20,9800,12.20
AIII,2016-01-05,1.24,1.24,1.24,1.24,000,1.24
AIII,2016-01-04,1.23,1.24,1.23,1.24,600,1.24
WGA,2016-01-05,0.47,0.47,0.47,0.47,200,0.47
WGA,2016-01-04,0.49,0.49,0.47,0.47,56600,0.47
AAU,2016-01-05,0.64,0.66,0.62,0.65,42200,0.65
AAU,2016-01-04,0.71,0.71,0.64,0.66,94800,0.66
APT,2016-01-05,1.66,1.72,1.66,1.69,48200,1.69
APT,2016-01-04,1.75,1.79,1.72,1.72,40600,1.72
FAX,2016-01-05,4.59,4.63,4.57,4.62,1007000,4.62
FAX,2016-01-04,4.54,4.60,4.52,4.60,1084200,4.60
AIRI,2016-01-05,8.17,8.17,8.02,8.02,1000,8.02
AIRI,2016-01-04,8.14,8.27,8.12,8.23,5600,8.23
AXU,2016-01-05,0.37,0.37,0.34,0.35,78600,0.35
AXU,2016-01-04,0.34,0.35,0.34,0.35,271500,0.35
ADGE,2016-01-05,0.40,0.40,0.36,0.36,28000,0.36
ADGE,2016-01-04,0.37,0.39,0.36,0.39,5800,0.39
AFCO,2016-01-05,6.99,7.05,6.98,7.02,36900,7.02
AFCO,2016-01-04,6.92,7.02,6.92,6.99,39900,6.99
DIT,2016-01-05,79.709999,79.889999,77.25,79.889999,20100,79.889999
DIT,2016-01-04,80.75,82.089996,79.50,80.50,4900,80.50
CH,2016-01-05,5.48,5.50,5.43,5.45,36300,5.45
CH,2016-01-04,5.47,5.53,5.43,5.45,26600,5.45
AAMC,2016-01-05,20.00,22.26,19.51,19.92,47400,19.92
AAMC,2016-01-04,16.440001,20.040001,16.41,20.01,51200,20.01
AMS,2016-01-05,1.89,1.90,1.58,1.75,8900,1.75
AMS,2016-01-04,1.89,1.89,1.89,1.89,300,1.89
ALN,2016-01-05,1.17,1.20,1.07,1.18,8200,1.18
ALN,2016-01-04,1.22,1.22,1.15,1.20,12400,1.20
AMPE,2016-01-05,2.92,3.50,2.92,3.17,498200,3.17
AMPE,2016-01-04,3.45,3.49,3.26,3.31,220400,3.31
AMCO,2016-01-05,0.44,0.44,0.40,0.43,55500,0.43
AMCO,2016-01-04,0.40,0.44,0.39,0.44,117000,0.44
HRT,2016-01-05,5.45,5.45,5.45,5.45,000,5.45
HRT,2016-01-04,5.45,5.45,5.45,5.45,400,5.45
AINC,2016-01-05,54.00,54.040001,54.00,54.00,1300,54.00
AINC,2016-01-04,52.540001,54.619999,52.50,53.91,2000,53.91
AST,2016-01-05,3.77,3.92,3.71,3.72,56800,3.72
AST,2016-01-04,3.85,3.85,3.52,3.77,106500,3.77
AKG,2016-01-05,1.51,1.56,1.50,1.55,115700,1.55
AKG,2016-01-04,1.51,1.52,1.46,1.50,184400,1.50
AXN,2016-01-05,0.65,0.87,0.64,0.80,489300,0.80
AXN,2016-01-04,0.66,0.66,0.60,0.64,186900,0.64
