symbol,date,open,high,low,close,volume,adj_close
FCO,2016-01-04,7.64,7.65,7.59,7.64,27600,7.64
FCO,2015-12-31,7.73,7.76,7.67,7.69,16700,7.69
ACU,2016-01-04,17.030001,17.59,17.00,17.24,3300,17.24
ACU,2015-12-31,17.50,17.50,17.00,17.40,3700,17.40
AIII,2016-01-04,1.23,1.24,1.23,1.24,600,1.24
AIII,2015-12-31,1.23,1.26,1.23,1.26,600,1.26
ATNM,2016-01-04,3.19,3.50,3.02,3.40,1690400,3.40
ATNM,2015-12-31,3.12,3.279,2.95,3.23,1043500,3.23
AE,2016-01-04,37.799999,38.990002,36.84,38.23,13400,38.23
AE,2015-12-31,36.43,39.50,35.360001,38.400002,21400,38.400002
ADK,2016-01-04,2.54,2.54,1.85,2.20,255800,2.20
ADK,2015-12-31,2.28,2.51,2.28,2.49,109800,2.49
IF,2016-01-04,5.47,5.47,5.35,5.43,6700,5.43
IF,2015-12-31,5.50,5.64,5.47,5.52,14900,5.52
XXII,2016-01-04,1.38,1.44,1.33,1.40,571700,1.40
XXII,2015-12-31,1.39,1.42,1.35,1.40,217600,1.40
IAF,2016-01-04,5.24,5.33,5.23,5.33,80800,5.33
IAF,2015-12-31,5.40,5.45,5.40,5.45,61800,5.45
CH,2016-01-04,5.47,5.53,5.43,5.45,26600,5.45
CH,2015-12-31,5.49,5.59,5.49,5.58,80700,5.58
FAX,2016-01-04,4.54,4.60,4.52,4.60,1084200,4.60
FAX,2015-12-31,4.56,4.60,4.55,4.57,1111200,4.57
WGA,2016-01-04,0.49,0.49,0.47,0.47,56600,0.47
WGA,2015-12-31,0.50,0.50,0.48,0.49,46300,0.49
ACY,2016-01-04,12.14,12.46,12.08,12.20,9800,12.20
ACY,2015-12-31,12.44,12.70,12.14,12.70,5200,12.70
AAU,2016-01-04,0.71,0.71,0.64,0.66,94800,0.66
AAU,2015-12-31,0.66,0.69,0.63,0.68,141100,0.68
AIRI,2016-01-04,8.14,8.27,8.12,8.23,5600,8.23
AIRI,2015-12-31,7.92,8.27,7.80,8.15,3700,8.15
AXU,2016-01-04,0.34,0.35,0.34,0.35,271500,0.35
AXU,2015-12-31,0.35,0.36,0.33,0.34,263600,0.34
DIT,2016-01-04,80.75,82.089996,79.50,80.50,4900,80.50
DIT,2015-12-31,79.150002,82.099998,79.010002,80.349998,11900,80.070001
ADGE,2016-01-04,0.37,0.39,0.36,0.39,5800,0.39
ADGE,2015-12-31,0.31,0.33,0.29,0.33,58900,0.33
APT,2016-01-04,1.75,1.79,1.72,1.72,40600,1.72
APT,2015-12-31,1.66,1.76,1.66,1.75,83000,1.75
ISL,2016-01-04,17.030001,17.18,17.030001,17.18,8100,17.18
ISL,2015-12-31,17.27,17.360001,17.26,17.26,2100,17.26
AAMC,2016-01-04,16.440001,20.040001,16.41,20.01,51200,20.01
AAMC,2015-12-31,17.26,17.41,16.799999,17.16,30700,17.16
AFCO,2016-01-04,6.92,7.02,6.92,6.99,39900,6.99
AFCO,2015-12-31,7.02,7.06,6.90,7.04,97900,7.04
ALN,2016-01-04,1.22,1.22,1.15,1.20,12400,1.20
ALN,2015-12-31,1.17,1.23,1.11,1.22,125100,1.22
AMPE,2016-01-04,3.45,3.49,3.26,3.31,220400,3.31
AMPE,2015-12-31,3.48,3.53,3.38,3.50,95900,3.50
AMS,2016-01-04,1.89,1.89,1.89,1.89,300,1.89
AMS,2015-12-31,1.73,1.85,1.69,1.84,8400,1.84
AXN,2016-01-04,0.66,0.66,0.60,0.64,186900,0.64
AXN,2015-12-31,0.82,0.82,0.62,0.67,779600,0.67
AMCO,2016-01-04,0.40,0.44,0.39,0.44,117000,0.44
AMCO,2015-12-31,0.43,0.43,0.38,0.40,31000,0.40
AKG,2016-01-04,1.51,1.52,1.46,1.50,184400,1.50
AKG,2015-12-31,1.45,1.48,1.45,1.46,111500,1.46
HRT,2016-01-04,5.45,5.45,5.45,5.45,400,5.45
HRT,2015-12-31,5.39,5.49,5.39,5.48,1800,5.48
AINC,2016-01-04,52.540001,54.619999,52.50,53.91,2000,53.91
AINC,2015-12-31,54.50,54.50,52.099998,53.25,4700,53.25
AST,2016-01-04,3.85,3.85,3.52,3.77,106500,3.77
AST,2015-12-31,4.03,4.09,3.87,3.93,104400,3.93
AWX,2016-01-04,1.89,1.89,1.89,1.89,000,1.89
AWX,2015-12-31,1.85,1.90,1.85,1.89,2900,1.89
ASM,2016-01-04,0.90,0.93,0.88,0.89,46100,0.89
ASM,2015-12-31,0.90,0.91,0.89,0.90,44400,0.90
